"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00009021","PERTH AIRPORT, AS","2014-02-08","0.0","30.7","14.4"
"ASN00009021","PERTH AIRPORT, AS","2014-02-09","0.0","33.7","15.2"
"ASN00009021","PERTH AIRPORT, AS","2014-02-10","0.0","31.5","17.0"
"ASN00009021","PERTH AIRPORT, AS","2014-02-11","0.0","33.2","17.5"
"ASN00009021","PERTH AIRPORT, AS","2014-02-12","0.0","33.7","20.3"
"ASN00009021","PERTH AIRPORT, AS","2014-02-13","0.0","35.0","20.5"
"ASN00009021","PERTH AIRPORT, AS","2014-02-14","0.0","32.4","19.5"
"ASN00009021","PERTH AIRPORT, AS","2014-02-15","0.0","32.2","15.7"
"ASN00009021","PERTH AIRPORT, AS","2014-02-16","0.0","31.3","13.3"
"ASN00009021","PERTH AIRPORT, AS","2014-02-17","0.0","34.1","17.6"
"ASN00009021","PERTH AIRPORT, AS","2014-02-18","0.0","35.4","18.0"
"ASN00009021","PERTH AIRPORT, AS","2014-02-19","0.0","36.7","17.3"
"ASN00009021","PERTH AIRPORT, AS","2014-02-20","0.0","37.3","21.5"
"ASN00009021","PERTH AIRPORT, AS","2014-02-21","0.0","35.0","19.6"
"ASN00009021","PERTH AIRPORT, AS","2014-02-22","0.0","35.0","24.1"
"ASN00009021","PERTH AIRPORT, AS","2014-02-23","0.0","35.5","20.1"
"ASN00009021","PERTH AIRPORT, AS","2014-02-24","0.0","34.9","14.8"
"ASN00009021","PERTH AIRPORT, AS","2014-02-25","0.0","32.3","19.8"
"ASN00009021","PERTH AIRPORT, AS","2014-02-26","0.0","30.5","15.9"
"ASN00009021","PERTH AIRPORT, AS","2014-02-27","0.0","34.9","17.1"
"ASN00009021","PERTH AIRPORT, AS","2014-02-28","0.0","36.7","17.1"
"ASN00009021","PERTH AIRPORT, AS","2014-03-01","0.0","38.2","20.0"
"ASN00009021","PERTH AIRPORT, AS","2014-03-02","0.0","37.9","15.8"
"ASN00009021","PERTH AIRPORT, AS","2014-03-03","0.0","31.8","15.2"
"ASN00009021","PERTH AIRPORT, AS","2014-03-04","0.0","32.5","17.7"
"ASN00009021","PERTH AIRPORT, AS","2014-03-05","0.0","32.3","17.3"
"ASN00009021","PERTH AIRPORT, AS","2014-03-06","0.0","35.6","17.6"
"ASN00009021","PERTH AIRPORT, AS","2014-03-07","0.0","37.9","23.1"
"ASN00009021","PERTH AIRPORT, AS","2014-03-08","0.0","26.7","21.0"
"ASN00009021","PERTH AIRPORT, AS","2014-03-09","0.0","26.5","12.1"
"ASN00009021","PERTH AIRPORT, AS","2014-03-10","0.0","29.3","12.5"
"ASN00009021","PERTH AIRPORT, AS","2014-03-11","0.0","33.6","16.9"
"ASN00009021","PERTH AIRPORT, AS","2014-03-12","0.0","37.7","19.9"
"ASN00009021","PERTH AIRPORT, AS","2014-03-13","0.2","27.8","20.7"
"ASN00009021","PERTH AIRPORT, AS","2014-03-14","0.0","26.3","14.3"
"ASN00009021","PERTH AIRPORT, AS","2014-03-15","0.0","24.9","8.0"
"ASN00009021","PERTH AIRPORT, AS","2014-03-16","0.0","27.1","9.8"
"ASN00009021","PERTH AIRPORT, AS","2014-03-17","0.0","29.8","11.9"
"ASN00009021","PERTH AIRPORT, AS","2014-03-18","0.0","31.4","16.2"
"ASN00009021","PERTH AIRPORT, AS","2014-03-19","0.0","32.4","18.1"
"ASN00009021","PERTH AIRPORT, AS","2014-03-20","0.0","31.4","18.8"
"ASN00009021","PERTH AIRPORT, AS","2014-03-21","0.2","28.4","16.7"
"ASN00009021","PERTH AIRPORT, AS","2014-03-22","0.0","31.7","18.7"
"ASN00009021","PERTH AIRPORT, AS","2014-03-23","0.0","34.1","20.4"
"ASN00009021","PERTH AIRPORT, AS","2014-03-24","0.0","34.7","22.8"
"ASN00009021","PERTH AIRPORT, AS","2014-03-25","0.2","28.6","21.6"
"ASN00009021","PERTH AIRPORT, AS","2014-03-26","0.0","31.1","20.2"
"ASN00009021","PERTH AIRPORT, AS","2014-03-27","0.0","29.6","16.6"
"ASN00009021","PERTH AIRPORT, AS","2014-03-28","0.0","33.9","17.0"
"ASN00009021","PERTH AIRPORT, AS","2014-03-29","0.0","24.9","18.2"
"ASN00009021","PERTH AIRPORT, AS","2014-03-30","3.6","22.4","16.1"
"ASN00009021","PERTH AIRPORT, AS","2014-03-31","0.2","23.4","14.3"
"ASN00009021","PERTH AIRPORT, AS","2014-04-01","0.6","24.9","15.4"
"ASN00009021","PERTH AIRPORT, AS","2014-04-02","0.0","25.6","10.3"
"ASN00009021","PERTH AIRPORT, AS","2014-04-03","0.0","27.6","13.1"
"ASN00009021","PERTH AIRPORT, AS","2014-04-04","0.0","30.2","11.2"
"ASN00009021","PERTH AIRPORT, AS","2014-04-05","0.0","31.5","14.7"
"ASN00009021","PERTH AIRPORT, AS","2014-04-06","0.0","26.5","12.5"
"ASN00009021","PERTH AIRPORT, AS","2014-04-07","0.0","25.6","12.9"
"ASN00009021","PERTH AIRPORT, AS","2014-04-08","0.0","30.0","12.9"
"ASN00009021","PERTH AIRPORT, AS","2014-04-09","0.0","31.4","18.2"
"ASN00009021","PERTH AIRPORT, AS","2014-04-10","0.0","32.6","21.1"
"ASN00009021","PERTH AIRPORT, AS","2014-04-11","0.0","35.0","20.3"
"ASN00009021","PERTH AIRPORT, AS","2014-04-12","0.0","32.9","18.3"
"ASN00009021","PERTH AIRPORT, AS","2014-04-13","0.0","34.0","16.6"
"ASN00009021","PERTH AIRPORT, AS","2014-04-14","0.0","31.1","17.0"
"ASN00009021","PERTH AIRPORT, AS","2014-04-15","0.0","25.6","14.6"
"ASN00009021","PERTH AIRPORT, AS","2014-04-16","0.0","25.5","16.7"
"ASN00009021","PERTH AIRPORT, AS","2014-04-17","0.0","26.0","8.2"
"ASN00009021","PERTH AIRPORT, AS","2014-04-18","0.0","28.3","13.3"
"ASN00009021","PERTH AIRPORT, AS","2014-04-19","0.0","26.2","9.2"
"ASN00009021","PERTH AIRPORT, AS","2014-04-20","0.0","24.9","11.0"
"ASN00009021","PERTH AIRPORT, AS","2014-04-21","0.0","23.6","7.4"
"ASN00009021","PERTH AIRPORT, AS","2014-04-22","0.0","24.3","5.6"
"ASN00009021","PERTH AIRPORT, AS","2014-04-23","0.0","26.8","6.2"
"ASN00009021","PERTH AIRPORT, AS","2014-04-24","0.0","24.5","16.3"
"ASN00009021","PERTH AIRPORT, AS","2014-04-25","0.2","25.3","14.6"
"ASN00009021","PERTH AIRPORT, AS","2014-04-26","0.0","22.8","14.4"
"ASN00009021","PERTH AIRPORT, AS","2014-04-27","9.2","23.8","16.9"
"ASN00009021","PERTH AIRPORT, AS","2014-04-28","7.8","19.4","10.9"
"ASN00009021","PERTH AIRPORT, AS","2014-04-29","0.8","20.0","5.9"
"ASN00009021","PERTH AIRPORT, AS","2014-04-30","0.0","22.2","8.6"
